date,lender,amount,borrower,industry,structure,description,location
5/13/2015,Citibank [Lender],$175.0 MM,"NewStar Warehouse Funding I, a subsidiary of NewStar Financial, Inc.",Lender Finance,Revolving Warehouse Facility,"A revolving warehouse financing arrangement. The credit facility will be used to partially fund eligible loans originated by the company's Leveraged Finance group. The facility has a target advance rate of 70% and matures in May 2020. It is structured with a three-year revolving, reinvestment period and will amortize over the remaining two years. NewStar Financial will serve as originator and collateral manager. Additional transaction details not disclosed.",
5/13/2015,Square 1 Bank [Lender],$10.0 MM,"TissueTech, Inc",Medical,Working Capital Credit Facility,Proceeds of the credit facility will provide working capital for the company's sales force expansion and pursuit of additional growth opportunities. Transaction details not disclosed.,
5/13/2015,Capital One Commercial Bank [Lender],$11.5 MM,Carespring Health Management,Healthcare,Revolver and Standby L/C,The line of credit will be used to refinance the company’s existing facilities and provide increased capacity to accommodate growth with the opening of a new skilled nursing facility in their portfolio. Transaction details not disclosed.,
5/14/2015,NewStar Business Credit [Lender],$9.0 MM,"Phoenix Footwear Group, Inc.",Apparel,Revolver,The credit facility will be used to support the company’s working capital needs. Transaction details not disclosed.,CA
5/14/2015,"Toronto Dominion Bank [Lead Lender]
The Bank of Nova Scotia [Lead Lender]
Alberta Treasury Branches [Lender]
Canadian Imperial Bank of Commerce [Lender]
HSBC Bank Canada [Lender]
Wells Fargo Bank [Lender]",$325.0 MM,Painted Pony,Energy,Revolver Increase,"Credit facilities were increased from $175 million to $325 million made up of a $300 million extendible revolving facility and a $25 million operating facility. Availability under the credit facilities is structured to increase in stages, in line with a pre-determined development schedule associated with the AltaGas Townsend Facility. The current availability is $225 million, increasing to $250 million on April 30, 2016, $275 million on July 31, 2016 and $325 million on October 31, 2016.",
5/15/2015,Wells Fargo Capital Finance [Lender],$60.0 MM,"Upland Software, Inc.",Technology,Credit Facility,"The facility provides up to $60 million in borrowing capacity for acquisitions, general corporate purposes and to refinance existing debt. The facility permits Upland to issue an additional $10 million in subordinated seller notes for acquisitions. In addition, subject to liquidity requirements, the facility permits stock buybacks of up to $5 million.",
5/18/2015,"Bank of America [Joint Lead Arranger, Joint Bookrunner]
Wells Fargo Securities [Joint Lead Arranger, Joint Bookrunner]",$500.0 MM,"Dave & Buster's, Inc.",Restaurant,$350MM Revolver; $150MM Term Loan,"Five year $500MM senior credit facility which is a senior secured obligation of Dave & Buster's, Inc., and guaranteed by Dave & Buster's Holdings, Inc. and certain of Dave & Buster's, Inc.'s material subsidiaries. The new facility bears an initial interest rate of LIBOR plus 200 basis points and consists of a $150 million senior secured first lien Term Loan A in addition to a $350 million revolver. The company utilized approximately $389 million of proceeds from the new facility and $45.3 million of available cash to refinance in whole the existing Term Loan B (of which $430 million was outstanding as of May 15, 2015) as well as pay related interest and expenses.  The retirement of the existing Term Loan B will result in a non-cash write off of debt issuance costs from the previous credit facility of approximately $6.8 million in the second quarter of fiscal 2015.",
5/18/2015,"NXT Capital [Sole Lead Arranger, Sole Bookrunner, Administrative Agent]",$54.7 MM,"Women’s Marketing, Inc.",Marketing,Senior Secured Facility,"A $54.7 million senior secured facility to fund PNC Riverarch Capital & BB&T Capital Partners’ recapitalization of Women’s Marketing, Inc.",
5/18/2015,"PNC Bank [Administrative Agent]
PNC Capital Markets [Sole Bookrunner, Joint Lead Arranger]
J.P Morgan Securities [Joint Lead Arranger]
Merrill Lynch [Joint Lead Arranger]
Wells Fargo Bank [Joint Lead Arranger, Co-Syndication Agent]
Bank of America [Co-Syndication Agent, Lender]
JPMorgan Chase Bank [Co-Syndication Agent]
KeyBank [Lender]
Fifth Third Bank [Lender]
U.S. Bank [Lender]
The Huntington National Bank [Lender]
The Ohio Valley Bank Company [Lender]",$750.0 MM,"Bob Evans Farms, Inc.",Restaurant,Revolver Amendment,"A Second Amendment (“Second Amendment”) to Amended and Restated Credit Agreement to its $750,000,000 Revolving Credit Facility Amended and Restated Credit Agreement  among Bob Evans Farms, LLC, (the “Borrower”); the Registrant and its wholly-owned subsidiary, BEF Foods, Inc., (“BEF Foods”), as guarantors; and the Lenders and the Administrative Agent who originally entered into the Credit Agreement on January 2, 2014. The Second Amendment was effective as of April 24, 2015. The terms of the Amended Credit Agreement were amended related to: (a) the definitions of Daily LIBOR Rate and LIBOR Rate; (b) Restricted Payments regarding the repurchase of shares, allowing for the repurchase of shares up to $150.0 million during the 2016 fiscal year subject to a Leverage Ratio restriction; and (c) the Maximum Leverage Ratio for the fourth quarter of fiscal 2015 and for the 2016 fiscal year is 4.50 to 1.00, for the first and second quarters of fiscal year 2017 is 4.25 to 1.00, and for the third quarter of fiscal 2017 through the term of the Amended Credit Agreement (subject to Borrower’s right to increase due to a Permitted Acquisition), is 4.00 to 1.00.",
5/18/2015,Bank of America Merrill Lynch [Lender],$35.0 MM,WWE Studios,Entertainment,Revolver,Revolving credit facility. Transaction details not disclosed.,
5/18/2015,Golub Capital [Lender],$355.0 MM,Plano Synergy Holdings,Manufacturing,Revolver and GOLD Facility,"An asset-based revolving credit facility and GOLD facility to support the refinancing of Plano Synergy Holdings, an Ontario Teachers' Pension Plan (""Teachers'"") portfolio company.  GOLD financings are Golub Capital's One-Loan Debt facilities. Transaction details not disclosed.",
5/18/2015,Wells Fargo Capital Finance [Administrative Agent],$400.0 MM,"Boise Cascade; Boise Cascade Wood Products, L.L.C.; Boise Cascade Building Materials Distribution, L.L.C.",Building Supply,$350MM Revolver; New $50MM Term Loan,"The principal changes resulting from the Amended Agreement were to add a term loan component and to extend the maturity date of the facility. The Amended Agreement consists of a $350.0 million (subject to an increase pursuant to an accordion feature) revolving loan (Revolver) maturing on April 30, 2020 and a new $50.0 million term loan (Term Loan) maturing on May 1, 2022. Borrowings under the Amended Agreement are constrained by a borrowing base formula dependent upon levels of eligible receivables and inventory reduced by outstanding borrowings and letters of credit (Availability). Borrowings under the Revolver may be repaid and re-borrowed from time to time at the discretion of the borrowers without premium or penalty. Borrowings under the Term Loan may also be repaid from time to time at the discretion of the borrowers without premium or penalty. However, any principal amount of Term Loan repaid, may not be subsequently re-borrowed. Interest rates under the Amended Agreement are based, at the company’s election, on either the London Interbank Offered Rate (LIBOR) or a base rate, as defined in the agreement, plus a spread over the index. The applicable spread for the Revolver did not change from the Prior Agreement. The applicable spread for the Term Loan ranges from 0.75% to 1.25% for base rate loans, and 1.75% to 2.25% for LIBOR rate loans, both dependent on the amount of Average Excess Availability (as defined in the Amended Agreement). The Term Loan was issued by two institutions within the farm credit system and will be eligible for patronage credits.
 
The Amended Agreement is secured by a first priority security interest in substantially all of the assets of the borrowers and the guarantors except property and equipment.",
